Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,obs72,obs73,obs74,obs75,obs76,obs77,obs78,obs79,obs80,obs81,obs82,obs83,obs84,obs85,obs86,obs87,obs88,obs89,obs90,obs91,obs92,obs93,obs94,obs95,obs96,obs97,obs98
 1,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0794897407805719,0.07949,62.282109,0.01,0,2,2,2,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3
 2,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0728667863653725,0.072867,42.214173,0.01,0,3,3,3,3,1,1,1,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,1,3,3,3,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,3,1,1,1,1,3,3,3,3,3,3,3,3,3,4,1,1,1,1,1,1,4
 3,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0680527791438912,0.068053,37.483792,0.01,0,1,1,1,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,4,1,4,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,4,1,1,1,1,1,4,4,3,3,3,4,3,3,2,3,3,3,3,3,3,2
 4,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0581954665600174,0.058195,72.577257,0.01,0,4,4,4,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,2,3,2,2,2,2,2,2,3
 5,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0685921242923773,0.068592,45.761155,0.01,0,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3
 6,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0787592296086962,0.078759,58.973463,0.01,0,5,4,4,5,4,5,5,5,5,5,2,2,1,2,2,5,5,5,5,5,5,5,1,1,1,1,1,1,1,4,4,4,4,4,4,4,5,5,5,4,5,5,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,3
 7,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0773948256516618,0.077395,60.549371,0.01,0,4,4,4,4,4,2,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,2,2,3,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,2,1,2,2,2,2,2,2,1
 8,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0591259001764294,0.059126,52.727192,0.01,0,4,4,4,4,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,4,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,2,5,2,2,2,2,2,2,5
 9,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.058313100871644,0.058313,61.027931,0.01,0,1,1,1,2,2,2,2,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,3,2,2,2,2,2,2,3
10,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0698165076323179,0.069817,63.025365,0.01,0,4,4,4,4,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,1,1,2,1,1,1,1,1,1,2
11,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0942216473868578,0.094222,61.696332,0.01,0,3,3,3,3,3,5,5,4,5,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,4,3,4,4,4,4,2,5,2,5,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,6,5,5,5,5,5,5,6
12,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0832693516875495,0.083269,55.654638,0.01,0,3,3,3,3,3,3,3,4,3,4,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,3,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,6
13,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0612561597362826,0.061256,70.24177,0.01,0,4,4,4,5,2,2,2,6,2,6,2,2,2,2,2,5,5,5,5,5,5,5,1,1,1,1,1,1,1,4,6,4,6,4,6,6,5,2,5,2,5,5,5,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,4,4,4,6,4,6,4,4,4,4,4,6,6,2,2,2,4,2,2,3,2,2,2,2,2,2,3
14,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0688032773371758,0.068803,71.326645,0.01,0,2,2,2,2,2,4,4,2,4,2,4,4,3,4,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,5,2,2,2,3,3,4,3,3,3,3,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,5,5,5,2,5,2,5,5,5,5,5,2,2,4,4,4,2,4,4,6,4,4,4,4,4,4,6
15,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0626655463933269,0.062666,72.315851,0.01,0,1,1,1,1,2,2,2,6,2,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,1,6,1,6,1,1,1,1,2,5,2,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,3,2,2,2,2,2,2,3
16,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.080630998673182,0.080631,68.738515,0.01,0,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4
17,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0758296907792318,0.07583,51.162429,0.01,0,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,1
18,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0738862166677072,0.073886,65.708465,0.01,0,2,2,2,2,2,3,3,2,3,2,3,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,4,3,3,3,3,3,3,4
19,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.067679057532227,0.067679,67.929397,0.01,0,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
20,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0688658864386924,0.068866,73.476688,0.01,0,1,1,1,1,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,3,3,4,3,3,3,3,3,3,4
21,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0966637657724199,0.096664,72.792215,0.01,0,3,3,3,3,3,3,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,4,3,4,3,4,4,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,5
22,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0741206134010249,0.074121,78.1557,0.01,0,5,5,5,5,1,1,1,5,1,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,5,5,5,5,1,5,5,5,1,1,1,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,5,5,5,5,1,5,1,1,1,1,5,5,5,1,1,1,5,1,1,2,1,1,1,1,1,1,2
23,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.070407756265084,0.070408,48.275165,0.01,0,3,3,3,3,3,3,3,2,3,2,5,5,5,5,5,3,3,3,3,3,3,3,5,5,5,5,5,5,5,2,2,2,2,1,2,2,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,2,1,3,1,1,1,1,1,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4
24,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0575641524633455,0.057564,72.105043,0.01,0,2,2,2,5,2,2,2,5,2,5,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,5,2,5,2,5,5,5,2,4,2,4,5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,5,5,5,2,5,2,2,2,2,5,5,2,2,2,2,5,2,2,3,2,2,2,2,2,2,3
25,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0705250503924469,0.070525,44.647594,0.01,0,1,1,1,4,1,2,2,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,1,3,1,3,1,1,1,4,2,2,4,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,2,4,4,4,4,4,5
26,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0751138260896114,0.075114,57.183435,0.01,0,2,2,2,5,2,2,5,6,5,5,2,2,2,2,2,5,5,5,5,5,5,5,1,1,1,1,1,1,1,4,4,4,4,4,4,4,5,5,5,2,5,5,5,5,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,2,3,2,2,2,2,2,2,3
27,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0902889467909295,0.090289,70.902878,0.01,0,3,3,3,3,5,5,5,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,3,3,3,3,2,3,3,3,5,5,5,5,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,3,2,3,2,2,2,2,2,3,3,5,5,5,3,5,5,6,5,5,5,5,5,5,6
28,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0789053476537613,0.078905,66.175432,0.01,0,4,4,4,5,4,4,4,5,4,2,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,5,4,5,4,5,5,5,2,2,4,2,2,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,3,3,3,3,3,5,4,5,5,5,4,5,4,4,4,4,5,5,5,4,4,4,5,4,4,6,4,4,4,4,4,4,6
